Position,Song,Artist
1,Carnival,¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
2,Lose Control,Teddy Swims
3,Lovin On Me,Jack Harlow
4,Beautiful Things,Benson Boone
5,Texas Hold 'Em,Beyonce
6,Greedy,Tate McRae
7,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
8,Snooze,SZA
9,Agora Hills,Doja Cat
10,Cruel Summer,Taylor Swift
11,Stick Season,Noah Kahan
12,Redrum,21 Savage
13,Saturn,SZA
14,Fast Car,Luke Combs
15,Last Night,Morgan Wallen
16,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
17,Water,Tyla
18,Thinkin' Bout Me,Morgan Wallen
19,Whatever She Wants,Bryson Tiller
20,Made For Me,Muni Long
